,health,income,inflation,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,Schooling,Status,Birth_Rate,GDP,Gross_tertiary_education_enrollment,Infant_mortality,Life_expectancy,Maternal_mortality_ratio,Physicians_per_thousand,Population,Unemployment_rate,Urban_population,fuel,GDP_per_capita
0,7.58,1610,9.44,0.0,65,42,23.3,67,65,0.03,3.6,0,32.49,19101353833.0,9.7,47.9,64.5,638.0,0.28,38041754.0,11.12,9797273.0,35.4,502.11548691997746
1,6.55,9930,4.49,4.33,99,98,26.6,99,99,0.03,9.7,0,11.78,15278077447.0,55.0,7.8,78.5,15.0,1.2,2854191.0,12.33,1747593.0,83.7,5352.857411084262
2,4.17,12900,16.1,0.55,95,99,25.5,95,95,0.05,7.9,0,24.28,169988236398.0,51.4,20.1,76.7,112.0,1.72,43053054.0,11.7,31510100.0,99.7,3948.3432789227913
3,2.85,5900,22.4,6.53,64,64,23.2,62,64,0.89,5.0,0,40.73,94635415870.0,9.3,51.6,60.8,241.0,0.21,31825295.0,6.89,21061025.0,50.0,2973.591159799147
4,6.03,19100,1.44,9.06,99,84,26.6,86,99,0.2,9.2,0,15.33,1727759259.0,24.8,5.0,76.9,42.0,2.76,97118.0,6.886363636363637,23800.0,100.0,17790.309304145474
5,8.1,18700,20.9,8.49,94,87,27.6,93,94,0.13,9.8,0,17.02,449663446954.0,90.0,8.8,76.5,39.0,3.96,44938712.0,9.79,41339571.0,99.9,10006.14897360654
6,4.4,6700,7.77,4.04,94,97,26.3,96,94,0.09,11.6,0,13.99,13672802158.0,54.6,11.0,74.9,26.0,4.4,2957731.0,16.99,1869848.0,98.4,4622.733493343377
7,8.73,41400,1.16,9.68,93,93,27.1,93,93,0.04,12.8,1,12.6,1392680589329.0,113.1,3.1,82.7,6.0,3.68,25766605.0,5.27,21844756.0,100.0,54049.8288124881
8,11.0,43200,0.873,11.6,93,88,25.5,93,93,0.08,12.1,1,9.7,446314739528.0,85.1,2.9,81.6,5.0,5.17,8877067.0,4.67,5194416.0,100.0,50277.27508736838
9,5.88,16000,13.8,0.51,96,98,26.9,98,96,0.05,10.7,0,14.0,39207000000.0,27.7,19.2,72.9,26.0,3.45,10023318.0,5.51,5616165.0,98.3,3911.5789801341234
10,4.97,41100,7.44,1.53,98,99,24.8,98,98,0.05,9.3,0,13.99,38574069149.0,50.5,6.1,77.2,14.0,0.93,1501635.0,0.71,1467109.0,100.0,25688.046129052665
11,3.52,2440,7.14,0.01,97,90,21.6,98,97,0.01,5.2,0,18.18,302571254131.0,20.6,25.1,72.3,173.0,0.58,167310838.0,4.19,60987417.0,26.5,1808.4378618138296
12,7.97,15300,0.321,9.68,97,89,27.7,97,97,0.28,10.5,0,10.65,5209000000.0,65.4,11.3,79.1,27.0,2.48,287025.0,10.33,89431.0,100.0,18148.24492640014
13,5.61,16200,15.1,9.79,99,99,26.6,99,99,0.22,12.2,0,9.9,63080457023.0,87.4,2.6,74.2,2.0,5.19,9466856.0,4.59,7482982.0,99.6,6663.295292861749
14,10.7,41100,1.88,10.36,98,85,26.1,99,99,0.08,11.7,1,10.3,529606710418.0,79.7,2.9,81.6,5.0,3.07,11484055.0,5.59,11259082.0,100.0,46116.699233676605
15,5.2,7880,1.14,6.71,94,95,28.9,94,94,0.4,10.5,0,20.79,1879613600.0,24.7,11.2,74.5,36.0,1.12,390353.0,6.41,179039.0,83.0,4815.163710795101
16,4.1,1820,0.885,1.53,82,83,23.5,72,82,0.33,3.5,0,36.22,14390709095.0,12.3,60.5,61.5,397.0,0.08,11801151.0,2.23,5648149.0,4.6,1219.4326718639563
17,5.2,6420,5.99,0.04,99,94,23.8,98,99,0.13,3.1,0,17.26,2446674101.0,15.6,24.8,71.5,183.0,0.42,727145.0,2.34,317538.0,87.0,3364.767826224481
18,4.84,5410,8.78,3.15,99,83,26.4,99,99,0.15,8.7,0,21.75,40895322865.0,37.96338797814208,21.8,71.2,155.0,1.59,11513100.0,3.5,8033035.0,88.3,3552.068762105775
19,11.1,9720,1.4,4.9,82,88,25.7,74,82,0.08,9.0,0,8.11,20047848435.0,23.3,5.0,77.3,10.0,2.16,3301000.0,18.42,1605144.0,41.65,6073.265202968797
20,8.3,13300,8.92,6.14,95,80,24.3,96,95,5.81,9.2,0,24.82,18340510789.0,24.9,30.0,69.3,144.0,0.37,2346179.0,18.19,1616550.0,65.7,7817.1830832174355
21,9.01,14500,8.41,6.63,96,80,26.5,98,96,0.24,7.6,0,13.92,1839758040766.0,51.3,12.8,75.7,60.0,2.15,212559417.0,12.08,183241641.0,96.5,8655.264804221777
22,6.87,15300,1.11,10.89,92,87,26.4,91,91,0.03,11.8,1,8.9,86000000000.0,71.0,5.9,74.9,10.0,4.03,6975761.0,4.34,5256027.0,89.1,12328.404026456756
23,6.74,1430,6.81,7.03,91,50,22.1,91,91,0.16,1.4,0,37.93,15745810235.0,6.5,49.0,61.2,320.0,0.08,20321378.0,6.26,6092349.0,11.7,774.8396902513206
24,11.6,764,12.3,3.99,94,65,21.6,94,94,0.27,2.9,0,39.01,3012334882.0,6.1,41.0,61.2,548.0,0.1,11530580.0,1.43,1541177.0,0.2,261.24747254691437
25,5.68,2520,3.12,3.34,89,61,22.1,92,89,0.1,4.7,0,22.46,27089389787.0,13.7,24.0,69.6,160.0,0.17,16486542.0,0.68,3924621.0,44.5,1643.121388766668
26,5.13,2660,1.91,4.55,84,64,24.3,77,84,1.12,6.1,0,35.39,38760467033.0,12.8,50.6,58.9,529.0,0.09,25876380.0,3.38,14741256.0,22.8,1497.90917558793
27,11.3,40700,2.87,8.0,55,86,26.9,91,91,0.1,13.1,1,10.1,1736425629520.0,68.9,4.3,81.9,10.0,2.61,36991981.0,5.56,30628482.0,100.0,46940.59584210967
28,3.98,888,2.01,0.9,47,64,22.8,51,47,1.12,4.2,0,35.35,2220307369.0,3.0,84.5,52.8,829.0,0.06,4745185.0,3.68,1982064.0,0.900000000000001,467.9074407004152
29,4.53,1930,6.39,0.66,46,64,21.9,52,46,0.42,2.3,0,42.17,11314951343.0,3.3,71.4,54.0,1140.0,0.04,15946876.0,1.89,3712273.0,8.0,709.5403101522832
30,7.96,19400,8.96,7.89,97,89,27.9,96,96,0.19,10.3,0,12.43,282318159745.0,88.5,6.2,80.0,13.0,2.59,18952038.0,7.09,16610135.0,100.0,14896.453866597354
31,5.07,9530,6.94,5.66,99,99,23.7,99,99,0.1,7.7,0,10.9,19910000000000.0,50.6,7.4,77.0,29.0,1.98,1397715000.0,4.32,842933962.0,83.2,14244.677920749224
32,7.59,10900,3.86,4.16,91,86,26.1,91,91,0.19,8.1,0,14.88,323802808108.0,55.3,12.2,77.1,83.0,2.18,50339443.0,9.71,40827302.0,93.3,6432.387583390623
33,4.51,1410,3.87,0.14,91,64,24.3,92,91,0.01,4.8,0,31.88,1185728677.0,9.0,51.3,64.1,273.0,0.27,850886.0,4.34,248152.0,11.3,1393.522371974624
34,10.9,13000,6.57,3.19,92,90,27.3,92,92,0.19,8.8,0,13.97,61773944174.0,55.2,7.6,80.1,27.0,2.89,5047561.0,11.85,4041885.0,95.9,12238.374964463035
35,7.76,20100,0.821,9.64,94,96,27.3,94,94,0.02,11.2,1,9.0,60415553039.0,67.9,4.0,78.1,8.0,3.0,4067500.0,6.93,2328318.0,100.0,14853.239837492318
36,5.97,33900,2.01,9.59,97,88,26.8,97,97,0.06,11.9,1,10.46,24564647935.0,75.9,1.9,80.8,6.0,1.95,1198575.0,7.27,800708.0,100.0,20494.87761299877
37,11.4,44000,3.22,9.42,88,80,25.3,93,93,0.03,12.5,1,10.6,348078018464.0,80.6,3.6,81.0,4.0,4.01,5818553.0,4.91,5119978.0,100.0,59822.092960913134
38,6.22,11100,5.44,5.39,81,83,26.4,87,85,0.38,7.8,0,19.51,88941298258.0,59.9,24.1,73.9,95.0,1.56,10738958.0,5.84,8787475.0,91.5,8282.11622189043
39,8.06,9350,7.47,3.69,78,76,27.1,84,78,0.16,8.4,0,19.72,107435665000.0,44.9,12.2,76.8,59.0,2.04,17373662.0,3.97,11116711.0,94.7,6183.823824821733
40,6.91,7300,2.65,2.54,91,88,27.6,92,91,0.18,6.6,0,18.25,27022640000.0,29.4,11.8,73.1,46.0,1.57,6453553.0,4.11,4694702.0,92.7,4187.250031106896
41,4.48,33700,24.9,8.11,40,64,23.9,37,16,4.2,5.5,0,33.24,11026774945.0,1.9,62.6,58.4,301.0,0.4,1355986.0,6.43,984812.0,24.1,8131.92388785725
42,2.66,1420,11.6,1.03,95,88,20.7,95,95,0.1,3.9,0,30.3,2065001626.0,3.4,31.3,65.9,480.0,0.06,6333135.0,5.14,1149670.0,11.5,326.0630992391604
43,6.03,22700,1.74,16.72,91,92,26.4,93,93,0.08,12.7,1,10.9,31386949981.0,69.6,2.1,78.2,9.0,4.48,1331824.0,5.11,916024.0,100.0,23566.890205462583
44,4.86,7350,4.23,2.63,99,94,27.6,99,99,0.12,10.8,0,21.28,5535548972.0,16.1,21.6,67.3,34.0,0.84,889953.0,4.1,505048.0,51.4,6220.046420428944
45,8.95,39800,0.351,8.52,88,92,25.9,97,97,0.08,12.4,1,8.6,268761201365.0,88.2,1.4,81.7,3.0,3.81,5520314.0,6.59,4716888.0,100.0,48685.853986747854
46,11.9,36900,1.05,11.87,86,79,25.0,97,98,0.09,11.5,1,11.3,2715518274227.0,65.6,3.4,82.5,8.0,3.27,67059887.0,8.43,54123364.0,100.0,40493.9285720389
47,3.5,15400,16.6,8.06,80,64,25.2,79,80,1.09,8.1,0,31.61,16657960228.0,8.3,32.7,66.2,252.0,0.68,2172579.0,20.0,1949694.0,89.7,7667.366861228061
48,10.1,6730,8.55,6.95,94,91,27.5,91,94,0.14,12.7,0,13.47,17743195770.0,63.9,8.7,73.6,25.0,7.12,3720382.0,14.4,2196476.0,90.6,4769.18654320981
49,11.6,40400,0.758,11.06,88,93,26.5,92,95,0.03,14.1,1,9.5,3845630030824.0,70.2,3.1,80.9,7.0,4.25,83132799.0,3.04,64324835.0,100.0,46258.8782897109
50,5.22,3060,16.6,1.75,88,63,23.9,88,88,0.84,6.9,0,29.41,66983634224.0,15.7,34.9,63.8,308.0,0.14,30792608.0,4.33,17249054.0,30.3,2175.3153946557563
51,10.3,28700,0.673,6.68,96,83,27.1,99,99,0.06,10.6,1,8.1,209852761469.0,136.6,3.6,81.3,3.0,5.48,10716322.0,17.24,8507474.0,100.0,19582.53601086268
52,5.86,11200,0.48,8.2,92,89,26.9,99,92,0.4,8.7,0,16.47,1228170370.0,104.6,13.7,72.4,25.0,1.41,112003.0,6.886363636363637,40765.0,88.3,10965.51315589761
53,6.85,6710,5.14,1.65,74,83,26.5,69,74,0.03,6.3,0,24.56,76710385880.0,21.8,22.1,74.1,95.0,0.35,16604026.0,2.46,8540945.0,48.1,4619.987097105244
54,4.93,1190,16.1,0.38,54,64,22.9,47,54,0.74,2.6,0,36.36,13590281809.0,11.6,64.9,61.2,576.0,0.08,12771246.0,4.3,4661505.0,1.0,1064.1312373906196
55,8.5,1390,2.97,3.13,87,64,23.4,83,87,1.58,2.9,0,35.13,1340389411.0,2.6,54.0,58.0,667.0,0.13,1920922.0,2.47,840922.0,1.0,697.7844030106376
56,5.38,5840,5.73,5.48,95,95,26.3,92,95,0.59,8.4,0,19.97,4280443645.0,11.6,25.1,69.8,169.0,0.8,782766.0,11.85,208912.0,82.0,5468.356628928696
57,6.91,1500,5.45,2.78,64,83,25.2,64,60,0.67,5.2,0,24.35,8498981821.0,1.1,49.5,63.7,480.0,0.23,11263077.0,13.78,6328948.0,4.3,754.5879177599514
58,7.33,22300,2.33,10.95,88,99,27.2,99,99,0.08,11.8,1,9.6,160967157504.0,48.5,3.6,75.8,12.0,3.41,9769949.0,3.4,6999582.0,100.0,16475.741838979917
59,9.4,38800,5.47,7.66,88,94,26.2,92,92,0.05,12.2,1,12.0,24188035739.0,71.8,1.5,82.7,4.0,4.08,361313.0,2.84,339110.0,100.0,66944.82550863102
60,4.05,4410,8.98,3.0,87,69,21.7,86,87,0.06,6.3,0,17.86,2611000000000.0,28.1,29.9,69.4,145.0,0.86,1366417754.0,5.36,471031528.0,71.1,1910.835827737642
61,2.61,8430,15.3,0.08,78,31,23.0,85,78,0.15,7.9,0,18.07,1119190780753.0,36.3,21.1,71.5,177.0,0.43,270203917.0,4.69,151509724.0,86.9,4142.022784788127
62,8.41,12700,16.6,0.16,56,76,28.6,72,58,0.13,6.6,0,29.08,234094042939.0,16.2,22.5,70.5,79.0,0.71,39309783.0,12.82,27783368.0,99.3,5955.109010370268
63,7.63,29600,1.77,2.74,96,97,27.2,95,95,0.08,13.0,1,20.8,395098666122.0,63.4,3.0,82.8,3.0,4.62,9053300.0,3.86,8374393.0,100.0,43641.39773585323
64,9.53,36200,0.319,7.14,93,83,25.6,93,93,0.06,10.2,1,7.3,2001244392042.0,61.9,2.6,82.9,2.0,3.98,60297396.0,9.89,42651966.0,100.0,33189.56579886136
65,4.81,8000,9.81,3.27,91,83,27.6,91,91,0.47,9.6,0,16.1,16458071068.0,27.1,12.4,74.4,80.0,1.31,2948279.0,8.0,1650594.0,82.5,5582.263777613991
66,9.49,35800,-1.9,8.55,83,93,22.7,99,96,0.17,12.5,1,7.4,5081769542380.0,63.2,1.8,84.2,5.0,2.41,126226568.0,2.29,115782416.0,100.0,40259.11203083648
67,8.04,9470,8.43,0.3,99,96,28.9,99,99,0.13,10.3,0,21.98,43743661972.0,34.4,13.9,74.4,46.0,2.32,10101694.0,14.72,9213048.0,99.9,4330.329345949303
68,4.29,20100,19.5,3.33,98,98,26.3,98,98,0.14,11.7,0,21.77,180161741180.0,61.7,8.8,73.2,10.0,3.25,18513930.0,4.59,10652915.0,93.9,9731.14520687936
69,4.75,2480,2.09,1.65,89,28,23.3,83,89,1.15,6.3,0,28.75,95503088538.0,11.5,30.6,66.3,342.0,0.16,52573973.0,2.64,14461523.0,23.9,1816.5469164371505
70,11.3,1730,1.52,0.35,82,76,30.0,80,78,0.17,7.9,0,27.89,194647202.0,37.96338797814208,41.2,68.1,92.0,0.2,117606.0,6.886363636363637,64489.0,12.4,1655.0788395149907
