,health,income,inflation,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,Schooling,Status,Birth_Rate,GDP,Gross_tertiary_education_enrollment,Infant_mortality,Life_expectancy,Maternal_mortality_ratio,Physicians_per_thousand,Population,Unemployment_rate,Urban_population,fuel,GDP_per_capita
71,2.63,75200,11.2,0.0,99,96,29.5,99,99,0.13,7.1,0,13.94,134761198946.0,54.4,6.7,75.4,12.0,2.58,4207083.0,2.18,4207083.0,100.0,32031.980102603156
72,6.68,18300,-0.812,10.8,94,92,26.6,94,95,0.29,12.8,1,10.0,34117202555.0,88.1,3.3,74.7,19.0,3.19,1912789.0,6.52,1304943.0,100.0,17836.364886560932
73,7.03,16300,0.238,1.15,81,63,27.5,81,81,0.04,8.5,0,17.55,53367042272.0,26.3,6.4,78.9,29.0,2.1,6855713.0,6.23,6084994.0,90.2,7784.316856904599
74,11.1,2380,4.15,3.07,93,82,24.9,85,93,10.0,6.1,0,26.81,2460072444.0,10.2,65.7,53.7,544.0,0.07,2125268.0,23.41,607508.0,41.1,1157.5351645063115
75,11.8,700,5.47,3.18,52,64,24.0,65,52,3.5,4.4,0,33.04,3070518100.0,11.9,53.5,63.7,661.0,0.04,4937374.0,2.81,2548426.0,0.4,621.8929536227153
76,3.88,29600,14.2,0.01,97,97,28.0,97,97,0.08,7.3,0,18.83,52076250948.0,60.5,10.2,72.7,72.0,2.09,6777452.0,18.56,5448597.0,25.5,7683.750611291677
77,7.04,21100,2.38,14.2,94,92,26.4,93,93,0.09,13.0,1,10.0,54219315600.0,72.4,3.3,75.7,8.0,6.35,2786844.0,6.35,1891013.0,100.0,19455.45412660343
78,7.77,91700,3.62,11.37,94,86,26.3,99,99,0.1,12.0,1,10.3,71104919108.0,19.2,1.9,82.1,5.0,3.01,645397.0,5.36,565488.0,100.0,110172.37314087298
79,3.77,1390,8.79,0.86,69,64,21.3,68,69,0.24,6.1,0,32.66,14083906357.0,5.4,38.2,66.7,335.0,0.18,26969307.0,1.76,10210849.0,1.4,522.219809244635
80,6.59,1030,12.1,2.04,88,64,22.8,88,88,2.59,4.4,0,34.12,7666704427.0,0.8,35.3,63.8,349.0,0.04,18628747.0,5.65,3199301.0,1.6,411.5523404231106
81,4.39,21100,7.27,0.55,99,99,25.6,99,99,0.14,10.2,0,16.75,364701517788.0,45.1,6.7,76.0,29.0,1.51,32447385.0,3.32,24475766.0,93.8,11239.78150436468
82,6.33,10500,2.88,1.26,99,99,25.3,99,99,0.17,6.3,0,14.2,5729248472.0,31.2,7.4,78.6,53.0,4.56,530953.0,6.14,213645.0,99.5,10790.500236367438
83,4.98,1870,4.37,0.62,64,64,22.9,67,64,0.39,2.3,0,41.54,17510141171.0,4.5,62.0,58.9,562.0,0.13,19658031.0,7.22,8479688.0,0.900000000000001,890.7372854890706
84,8.65,28300,3.83,7.37,95,91,27.1,97,97,0.08,11.2,1,9.2,14786156563.0,54.3,6.1,82.3,6.0,2.86,502653.0,3.47,475902.0,100.0,29416.230606402427
85,4.41,3320,18.9,0.0,73,64,24.9,67,73,0.15,4.3,0,33.69,7593752450.0,5.0,51.5,64.7,766.0,0.19,4525696.0,9.55,2466821.0,48.3,1677.9192526409197
86,6.0,15900,1.13,2.83,97,96,25.2,98,97,0.7,9.1,0,10.2,14180444557.0,40.6,13.6,74.4,61.0,2.53,1265711.0,6.67,515980.0,98.9,11203.540584699034
87,11.7,3910,11.1,6.76,88,92,27.0,88,87,0.36,11.6,0,10.1,11955435457.0,39.8,13.6,71.8,19.0,3.21,2657637.0,5.47,1135502.0,97.6,4498.520850289186
88,5.44,7710,39.2,8.35,99,98,26.1,99,99,0.01,10.1,0,24.13,13852850259.0,65.6,14.0,69.7,45.0,2.86,3225167.0,6.01,2210626.0,53.0,4295.235024728952
89,9.11,14000,1.6,8.49,82,94,26.5,89,89,0.03,11.3,0,11.73,5494736901.0,56.1,2.3,76.8,6.0,2.76,622137.0,14.88,417765.0,62.0,8832.036835938065
90,5.2,6440,0.976,0.39,99,95,25.9,99,99,0.03,5.0,0,18.94,118725279596.0,35.9,19.2,76.5,70.0,0.73,36910560.0,9.02,22975026.0,98.2,3216.5667385160236
91,5.21,918,7.64,1.22,88,64,22.7,88,80,3.5,3.5,0,37.52,14934159926.0,7.3,54.0,60.2,289.0,0.08,30366036.0,3.24,11092106.0,5.4,491.80472307942995
92,1.97,3720,7.04,1.47,89,78,22.6,89,89,0.28,4.9,0,17.55,76085852617.0,18.8,36.8,66.9,250.0,0.68,54045420.0,1.58,16674093.0,43.5,1407.8131434078966
93,6.78,8460,3.56,2.63,92,64,24.2,92,92,4.58,6.7,0,28.64,12366527719.0,22.9,29.0,63.4,195.0,0.42,2494530.0,20.27,1273258.0,47.3,4957.458005716508
94,5.25,1990,15.1,0.24,91,65,22.4,90,91,0.17,4.7,0,19.89,30641380604.0,12.4,26.7,70.5,186.0,0.75,28608710.0,1.41,5765513.0,35.2,1071.0507605550897
95,11.9,45500,0.848,8.3,94,92,25.5,95,95,0.04,12.1,1,9.7,909070395161.0,85.0,3.3,81.8,5.0,3.61,17332850.0,3.2,15924729.0,100.0,52447.83143920359
96,10.1,32300,3.73,8.68,92,87,28.0,92,92,0.03,12.4,1,11.98,206928765544.0,82.0,4.7,81.9,9.0,3.59,4841000.0,4.07,4258860.0,100.0,42745.04555752943
97,5.16,814,2.55,0.12,65,64,21.8,83,65,0.06,1.8,0,46.08,12928145120.0,4.4,48.0,62.0,509.0,0.04,23310715.0,0.47,3850231.0,3.0,554.6009686961554
98,5.07,5150,104.0,4.51,49,64,23.2,42,49,0.58,6.0,0,37.91,448120428859.0,10.2,75.7,54.3,917.0,0.38,200963599.0,8.1,102806948.0,16.8,2229.858696245781
99,9.48,62300,5.95,5.97,88,91,26.6,95,95,0.04,12.5,1,10.4,403336363636.0,82.0,2.1,82.8,2.0,2.92,5347896.0,3.35,4418218.0,100.0,75419.6348687409
100,2.77,45300,15.6,0.45,99,98,26.3,99,99,0.05,9.5,0,19.19,76983094928.0,38.0,9.8,77.6,19.0,2.0,5266535.0,2.67,4250777.0,100.0,14617.408775978893
101,2.2,4280,10.9,0.04,72,54,23.9,72,72,0.13,5.1,0,28.25,304400000000.0,9.0,57.2,67.1,140.0,0.98,216565318.0,4.45,79927762.0,50.7,1405.5805556086316
102,8.1,15400,2.59,6.84,73,92,26.8,72,73,0.4,9.9,0,18.98,66800800000.0,47.8,13.1,78.3,52.0,1.57,4246439.0,3.9,2890084.0,100.0,15731.01603484708
103,5.87,7290,6.1,5.21,93,72,26.6,93,93,0.14,8.5,0,20.57,38145288940.0,34.6,17.2,74.1,129.0,1.35,7044636.0,4.81,4359150.0,69.8,5414.799137954041
104,5.08,9960,5.71,5.68,90,63,26.5,88,90,0.13,9.1,0,17.95,226848050820.0,70.7,11.1,76.5,88.0,1.27,32510453.0,3.31,25390339.0,85.5,6977.695783568442
105,3.61,5600,4.22,4.52,75,57,23.1,79,60,0.1,9.3,0,20.55,376795508680.0,35.5,22.5,71.1,121.0,0.6,108116615.0,2.15,50975903.0,48.0,3485.0842183692116
106,7.46,21800,1.66,10.47,96,94,26.6,92,98,0.08,12.1,1,10.2,592164400688.0,67.8,3.8,77.6,2.0,2.38,37970874.0,3.47,22796574.0,100.0,15595.227033436207
107,11.0,27200,0.643,10.34,98,95,25.7,98,98,0.12,9.1,1,8.5,237686075635.0,63.9,3.1,81.3,8.0,5.12,10269417.0,6.33,6753579.0,100.0,23145.04081731222
108,1.81,125000,6.98,1.03,99,91,29.1,99,99,0.06,9.8,0,9.54,183466208791.0,17.9,5.8,80.1,9.0,2.49,2832067.0,0.09,2809071.0,100.0,64781.73319734314
109,5.58,17800,3.53,9.45,90,80,26.7,89,89,0.04,10.9,1,9.6,250077444017.0,49.4,6.1,75.4,19.0,2.98,19356544.0,3.98,10468793.0,100.0,12919.529644186485
110,5.08,23100,14.2,8.06,97,97,26.2,97,97,0.08,12.0,0,11.5,1699876578871.0,81.9,6.1,72.7,17.0,4.01,144373535.0,4.59,107683889.0,72.9,11774.156384485565
111,10.5,1350,2.61,6.31,98,87,22.0,99,98,0.59,4.0,0,31.7,10122472590.0,6.7,27.0,68.7,248.0,0.13,12626950.0,1.03,2186104.0,5.4,801.6561869651816
112,6.47,5400,1.72,2.1,59,55,32.1,78,66,0.17,10.3,0,24.38,850655017.0,7.6,13.6,73.2,43.0,0.34,202506.0,8.36,35588.0,37.2,4200.641052610787
113,4.29,45400,17.2,0.0,98,96,28.4,97,98,0.13,9.5,0,17.8,792966838162.0,68.0,6.0,75.0,17.0,2.61,34268528.0,5.93,28807838.0,100.0,23139.798656131363
114,5.66,2180,1.85,0.19,89,54,22.9,85,89,0.1,2.9,0,34.52,23578084052.0,12.8,31.8,67.7,315.0,0.07,16296364.0,6.6,7765706.0,29.4,1446.8309649931728
115,10.4,12700,5.88,7.2,94,86,26.0,95,95,0.02,11.0,0,9.2,51409167351.0,67.2,4.8,75.5,12.0,3.11,6944975.0,12.69,3907243.0,80.6,7402.354558655718
116,3.4,20400,-4.21,8.7,98,98,26.6,97,97,3.5,9.5,0,17.1,1698843063.0,17.1,12.4,72.8,53.0,0.95,97625.0,6.886363636363637,55762.0,100.0,17401.72151600512
117,13.1,1220,17.2,3.06,86,60,22.7,86,86,0.85,3.4,0,33.41,3941474311.0,2.0,78.5,54.3,1120.0,0.03,7813215.0,4.43,3319366.0,0.800000000000001,504.4625433960284
118,3.96,72100,-0.046,1.82,96,90,23.6,96,96,0.07,11.5,0,8.8,372062527489.0,84.8,2.3,83.1,8.0,2.29,5703569.0,4.11,5703569.0,100.0,65233.28243929371
119,9.41,28700,-0.987,11.49,88,96,26.5,95,95,0.01,12.0,1,9.4,53742159517.0,78.6,1.7,81.0,7.0,3.09,2087946.0,4.2,1144654.0,100.0,25739.247814359183
120,8.55,1780,6.81,1.01,98,65,26.2,85,98,0.17,5.4,0,32.44,1425074226.0,37.96338797814208,17.1,72.8,104.0,0.19,669823.0,0.58,162164.0,8.9,2127.5385079341854
121,8.94,12000,6.35,7.2,75,59,27.2,85,75,6.91,10.1,0,20.51,351431649241.0,22.4,28.5,63.9,119.0,0.91,58558270.0,28.18,39149717.0,88.4,6001.400813941395
122,9.54,32500,0.16,10.35,97,94,26.0,97,97,0.09,9.7,1,7.9,1394116310769.0,88.9,2.5,83.3,4.0,3.87,47076781.0,13.96,37927409.0,100.0,29613.67113798626
123,2.94,8560,22.8,2.72,99,99,23.0,99,99,0.01,10.9,0,15.83,84008783756.0,19.6,6.4,76.8,36.0,1.0,21803000.0,4.2,4052088.0,32.6,3853.0836928863
124,7.01,14200,7.2,4.75,89,21,26.5,78,89,0.47,8.4,0,18.54,3985250737.0,12.6,16.9,71.6,120.0,1.21,581372.0,7.33,384258.0,94.8,6854.906560687477
125,9.63,42900,0.991,7.13,67,95,26.0,98,98,0.08,12.4,1,11.4,530832908738.0,67.0,2.2,82.5,4.0,3.98,10285453.0,6.48,9021165.0,100.0,51610.06605523354
126,11.5,55500,0.317,9.62,88,87,25.2,96,97,0.05,13.4,1,10.0,703082435360.0,59.6,3.7,83.6,5.0,4.3,8574832.0,4.58,6332428.0,100.0,81993.72714940654
127,5.98,2110,12.5,0.92,96,94,25.9,96,96,0.11,10.5,0,30.76,8116626794.0,31.3,30.4,70.9,17.0,1.7,9321018.0,11.02,2545477.0,85.5,870.787589295504
128,6.01,2090,9.25,7.86,98,64,23.1,96,98,2.01,5.8,0,36.7,63177068175.0,4.0,37.6,65.0,524.0,0.01,58005463.0,1.98,20011885.0,6.9,1089.1572087787663
129,3.88,13500,4.08,6.95,99,95,24.3,99,99,0.16,7.6,0,10.34,543649976166.0,49.3,7.8,76.9,37.0,0.81,69625582.0,0.75,35294600.0,85.1,7808.192916304814
130,7.65,1210,1.18,1.36,88,64,23.5,82,88,0.72,4.7,0,33.11,5459979417.0,14.5,47.4,60.8,396.0,0.08,8082366.0,2.04,3414638.0,11.4,675.5422133815766
131,5.07,4980,3.68,0.23,78,99,32.1,96,78,0.17,11.2,0,24.3,450353314.0,6.4,13.4,70.8,52.0,0.52,100209.0,1.12,24145.0,86.8,4494.140386592023
132,6.21,10400,3.82,1.5,98,98,26.3,98,98,0.04,7.0,0,17.56,38797709924.0,31.7,14.6,76.5,43.0,1.3,11694719.0,16.02,8099061.0,99.9,3317.5410135121674
133,6.74,18000,7.01,1.32,97,65,27.8,97,97,0.08,7.8,0,16.03,754411708203.0,23.9,9.1,77.4,17.0,1.85,83429615.0,13.49,63097818.0,95.4,9042.492982893424
134,2.5,9940,2.31,3.36,99,99,26.4,99,99,0.08,9.8,0,23.83,40761142857.0,8.0,39.3,68.1,7.0,2.22,5942089.0,3.91,3092738.0,99.9,6859.732807266939
135,9.01,1540,10.6,7.44,78,64,22.4,85,78,2.08,5.7,0,38.14,34387229486.0,4.8,33.8,63.0,375.0,0.17,44269594.0,1.84,10784516.0,0.700000000000001,776.7685758762549
136,7.72,7820,13.4,6.04,22,57,26.5,51,23,0.23,11.3,0,8.7,153781069118.0,82.7,7.5,71.6,19.0,2.99,44385155.0,8.88,30835699.0,95.2,3464.696002931611
137,3.66,57600,12.5,2.12,99,99,28.4,99,99,0.13,10.6,0,10.33,421142267938.0,36.8,6.5,77.8,3.0,2.53,9770529.0,2.35,8479744.0,100.0,43103.32305835232
138,9.64,36200,1.57,9.59,88,86,27.1,96,96,0.08,12.8,1,11.0,2827113184696.0,60.0,3.6,81.3,7.0,2.81,66834405.0,3.85,55908316.0,100.0,42300.26712583137
139,17.9,49400,1.22,8.78,92,86,28.8,93,95,0.12,13.3,1,11.6,21427700000000.0,88.2,5.6,78.5,19.0,2.61,328239523.0,14.7,270663028.0,100.0,65280.6822413034
140,8.35,17100,4.91,6.0,95,93,27.3,95,95,0.24,8.7,0,13.86,56045912952.0,63.1,6.4,77.8,17.0,5.05,3461734.0,8.73,3303394.0,100.0,16190.126957183886
141,5.81,4240,16.5,2.59,99,99,26.7,99,99,0.14,11.4,0,23.3,57921286440.0,10.1,19.1,71.6,29.0,2.37,33580650.0,5.92,16935729.0,82.8,1724.8411344032947
142,5.25,2950,2.62,1.42,64,65,26.1,80,64,0.17,6.8,0,29.6,917058851.0,4.7,22.3,70.3,72.0,0.17,299882.0,4.39,76152.0,6.9,3058.065675832494
143,4.91,16500,45.9,6.21,87,83,26.7,87,87,0.4,10.1,0,17.88,482359318768.0,79.3,21.4,72.1,125.0,1.92,28515829.0,8.8,25162368.0,95.5,16915.49345340793
144,6.84,4490,12.1,2.98,97,65,21.7,97,97,0.12,8.0,0,16.75,261921244843.0,28.5,16.5,75.3,43.0,0.82,96462106.0,2.01,35332140.0,96.1,2715.276036405425
145,5.89,3280,14.0,3.5,90,47,22.5,90,90,4.48,6.9,0,36.19,23064722446.0,4.1,40.4,63.5,213.0,1.19,17861030.0,11.43,7871713.0,10.2,1291.3433573539712
